title,author,description,news_category,urlToImage,publishedat,source_id,news_related
Report: Toby Keith Smiling Down From Heaven,No Author,HEAVEN — Sources confirmed that Toby Keith smiled his biggest grin today as he watched American B-2 bombers rain down bunker buster bombs on Iran.,satire,https://media.babylonbee.com/articles/68575d46e2b6968575d46e2b6a.jpg,,babylonbee,True
4D Chess: Trump Announces He Will Begin Deporting One Illegal For Every Run The Dodgers Score,No Author,"WASHINGTON, D.C. — In the wake of the Los Angeles Dodgers actively opposing the deportation of illegal immigrants, President Trump announced today that he will begin deporting one illegal for every run the Dodgers score.",satire,https://media.babylonbee.com/articles/6856dcf204f456856dcf204f46.jpg,,babylonbee,True
Pathetic Excuse For Disciple Fails To Get Single Epistle Into Bible,No Author,"WORLD — The sorry excuse for a disciple known as ""Saint Bartholomew"" died without having penned a single epistle that would make it into the Bible.",satire,https://media.babylonbee.com/articles/6858611f8654b6858611f8654c.jpg,,babylonbee,True
Americans Surprised To Learn We Weren’t Already Bombing Iran,No Author,"U.S. — As President Donald Trump announced that the U.S. military had engaged in a bombing attack on Iranian nuclear sites, Americans across the country were surprised to learn that we weren't already bombing Iran.",satire,https://media.babylonbee.com/articles/68596f3d3602268596f3d36023.jpg,,babylonbee,True
"To Calm Everyone Down, Here Is A Picture Of A Bagel You Cannot Possibly Argue About",No Author,"We at the Babylon Bee have seen the rage and consternation caused by some of our jokes this week. In order to help everyone take a deep breath and relax, we are simply posting this picture of a bagel that no one could possibly argue about.",satire,https://media.babylonbee.com/articles/68570433e88a868570433e88a9.jpg,,babylonbee,True
Guy Who Can’t Settle Dispute Between His Toddlers Pretty Sure He Has This Israel-Iran Thing Solved,No Author,"GRANDVIEW, MO — A local father who spent the entire day failing to settle a dispute between his toddlers later expressed supreme confidence on social media that he had the entire Israel-Iran conflict solved.",satire,https://media.babylonbee.com/articles/6855cf5e253a96855cf5e253aa.jpg,,babylonbee,True
Tired Man Drinks Coffee So He Can Feel Both Tired And Irritable,No Author,"GREEN BAY, WI — In preparation for an early work day, local man David Miles drank a cup of coffee so that, in addition to feeling tired, he could also be irritable.",satire,https://media.babylonbee.com/articles/6855c26f8f7886855c26f8f789.jpg,,babylonbee,True
Man Very Particular About Which Version Of The Bible He Buys And Doesn’t Read,No Author,"PRINCETON, NJ — Sources close to Jason Newman reported that the 46-year-old had become increasingly picky over which version of the Bible he would buy and not read.",satire,https://media.babylonbee.com/articles/6855ca1f78a046855ca1f78a05.jpg,,babylonbee,True
Democrats Outraged After Court Rules Commander-In-Chief Of Armed Forces Can Command Armed Forces,No Author,"WASHINGTON, D.C. -- Democrats were outraged by an appeals court ruling that permitted the Commander in Chief of the United States Armed Forces to command the armed forces.",satire,https://media.babylonbee.com/articles/6855a7d31dd4d6855a7d31dd4e.jpg,,babylonbee,True
Texan Republicans Tip Off State Department That Austin Has Nuclear Weapons,No Author,"WASHINGTON, D.C. — According to sources within the Trump administration, Texas Republicans tipped off the State Department about the city of Austin being in possession of nuclear weapons.",satire,https://media.babylonbee.com/articles/6854779cb7f556854779cb7f56.jpg,,babylonbee,True
User Kicked Off Bluesky For Not Violently Threatening JD Vance,No Author,"U.S. — According to sources, Bluesky user @stephan34.bsky.social was banned for violating the social media platform's terms of service by not violently threatening Vice President JD Vance.",satire,https://media.babylonbee.com/articles/6854645404cd26854645404cd4.jpg,,babylonbee,True
Dodgers Announce MS-13 Bobblehead Night,No Author,"LOS ANGELES, CA — The Los Angeles Dodgers were hoping to attract large crowds at tonight's game against the Washington Nationals by offering a limited edition MS-13 bobblehead to commemorate the recent L.A. anti-ICE riots.",satire,https://media.babylonbee.com/articles/6855b0ab591666855b0ab59167.jpg,,babylonbee,True
