title,author,description,news_category,urlToImage,publishedAt,source_id,news_related
"Celebs·Jun 29, 2025·74Jeff Bezos's Wedding 100% Funded By Your Wife's Amazon PurchasesTUCSON, AZ - Local man Jeremy Briggs sadly discovered this week that his wife's Amazon purchases single-handedly funded billionaire Jeff Bezos's elabo...",,,politics,https://media.babylonbee.com/articles/6861488a141066861488a14107.jpg,2025-06-29T00:00:00,BabylonBee,1
"Life·Jun 28, 2025·75Mexican Restaurant's Authenticity Questioned After Experiencing Zero ICE RaidsATLANTA, GA - Locals have begun questioning the authenticity of purported Mexican restaurant ""El Bandido"" as ICE has yet to raid the restaurant a sing...",,,politics,https://media.babylonbee.com/articles/685ed54326ce1685ed54326ce2.jpg,2025-06-28T00:00:00,BabylonBee,1
"Politics·Jun 26, 2025·1267 Changes Mamdani Is Proposing For New York CityFollowing his victory in the Democratic Party primary, Zohran Mamdani is now the frontrunner for New York City mayor, and people are wondering what pl...",,,politics,https://media.babylonbee.com/articles/685db510238c4685db510238c5.jpg,2025-06-26T00:00:00,BabylonBee,1
"Pastor Resigns In Disgrace After Failing To Use Greek Word In SermonPastor Resigns In Disgrace After Failing To Use Greek Word In SermonChurch·Jun 29, 2025·54MADISON, WI - Local pastor Nathan Enfield resigned in disgrace after he failed to use a single Greek word in his sermon this morning.",,,politics,https://media.babylonbee.com/articles/686182a2ddf72686182a2ddf73.jpg,2025-06-29T00:00:00,BabylonBee,1
"Politics·Jun 28, 2025·91Bad Sign? Trump Shoots Lightning from His Fingertips While Screaming ‘Unlimited Power!’ After Latest SCOTUS RulingWASHINGTON, D.C. - In what some are taking as perhaps a bad omen, President Trump responded to the SCOTUS ruling on nationwide injunctions by screamin...",,,politics,https://media.babylonbee.com/articles/685ff4e1e6f2a685ff4e1e6f2b.jpg,2025-06-28T00:00:00,BabylonBee,1
"Man Wakes Up Filled With Regret For Not Having More To Drink Last NightLife·Jun 28, 2025·65",,,politics,https://media.babylonbee.com/articles/685ec5ea20e22685ec5ea20e23.jpg,2025-06-28T00:00:00,BabylonBee,1
"Nation Celebrates First Anniversary Of Biden Beating MedicarePolitics·Jun 28, 2025·84",,,politics,https://media.babylonbee.com/articles/685edb29b7867685edb29b7868.jpg,2025-06-28T00:00:00,BabylonBee,1
"20-Year Veteran VBS Leader Taken Up Into Heaven In Chariot Of Fire During Closing ProgramChurch·Jun 27, 2025·80",,,politics,https://media.babylonbee.com/articles/685ed552c9cb9685ed552c9cba.jpg,2025-06-27T00:00:00,BabylonBee,1
"Honest Pastor Brags About His Moderately Attractive WifeChurch·Jun 27, 2025·66",,,politics,https://media.babylonbee.com/articles/685ed2e802bc7685ed2e802bc8.jpg,2025-06-27T00:00:00,BabylonBee,1
"Massive Terrorist Sleeper Cell Discovered In MassachusettsU.S.·Jun 27, 2025·67",,,politics,https://media.babylonbee.com/articles/685ebf6b3398c685ebf6b3398d.jpg,2025-06-27T00:00:00,BabylonBee,1
"Wife Offers Husband Compromise: If He Lets Her Get Chickens, She'll Let Him Do All The WorkFamily·Jun 27, 2025·70",,,politics,https://media.babylonbee.com/articles/685eb64a5a323685eb64a5a324.jpg,2025-06-27T00:00:00,BabylonBee,1
"Sponsored·Jun 27, 2025·110That Tucker Carlson Sure Is A Moron [This Post Sponsored By The Jews]Tucker Carlson is the worst person who has ever walked the face of the earth. Want to know why? Read on, friend, and we'll tell you.",,,politics,https://media.babylonbee.com/articles/685eded4b7350685eded4b7351.jpg,2025-06-27T00:00:00,BabylonBee,1
"Entertainment·Jun 27, 2025·155Who Should Be The Next James Bond?Denis Villeneuve, director of the Dune films, has been tapped to helm the next film in the long-running James Bond film series. But who will play Ian ...",,,politics,https://media.babylonbee.com/articles/685ef0855e2af685ef0855e2b0.jpg,2025-06-27T00:00:00,BabylonBee,1
"U.S.·Jun 27, 2025·83Supreme Court Legalizes Trump PresidencyWASHINGTON, D.C. - The Supreme Court issued a ruling this morning that it is legal for President Donald Trump to be the president.",,,politics,https://media.babylonbee.com/articles/685eb1abe2578685eb1abe2579.jpg,2025-06-27T00:00:00,BabylonBee,1
"U.S.·Jun 27, 2025·83In Powerful Dissent, Ketanji Brown Jackson Simply Writes 'Wakanda Forever'WASHINGTON, D.C. - Following the U.S. Supreme Court's latest ruling in favor of President Trump, Justice Ketanji Brown Jackson penned a scathing rebuk...",,,politics,https://media.babylonbee.com/articles/685ed3145d893685ed3145d894.jpg,2025-06-27T00:00:00,BabylonBee,1
"Politics·Jun 26, 2025·90Democrats Discover Innovative Strategy Of Promising Free Stuff To Stupid PeopleNEW YORK, NY - Democratic Party strategists were thrilled this week after they stumbled upon an innovative new strategy of winning elections by promis...",,,politics,https://media.babylonbee.com/articles/685d75fbd4d94685d75fbd4d95.jpg,2025-06-26T00:00:00,BabylonBee,1
"Sponsored·Jun 25, 2025·1159 Hardest Parts Of Pregnancy For HusbandsEveryone loves to talk about how difficult pregnancy is for women, but the truth is that pregnancy requires incredible sacrifices from husbands too!",,,politics,https://media.babylonbee.com/articles/685c2fb1cc5a0685c2fb1cc5a1.jpg,2025-06-25T00:00:00,BabylonBee,1
