title,author,description,news_category,urlToImage,publishedAt,source_id,news_related
Andrew Cuomo Subpoenas Gynecological Records Of Women Who Didn’t Vote For Him,,,politics,https://theonion.com/wp-content/uploads/2025/06/Andrew_Cuomo_Subpoenas_SB_G_PH.jpg?w=1024,,TheOnion,1
Trump Assures Nation Uncommonly Violent Ceasefire In Effect,,,politics,https://theonion.com/wp-content/uploads/2025/06/Trump_Assures_Nation_SB_G_PH.png?w=1024,,TheOnion,1
Cuomo Makes 11th-Hour Pass At Female New Yorkers,,,politics,https://theonion.com/wp-content/uploads/2025/06/Cuomo_Makes_SB_G_PH_copy.jpg?w=1024,,TheOnion,1
Congress Passes Blank Bill For Trump To Write Whatever Law He Wants,,,politics,https://theonion.com/wp-content/uploads/2025/06/Congress_Passes_Blank-NIB-PH.jpg?w=1024,,TheOnion,1
Christian Faith An Important Part Of Who Senator Pretends To Be,,,politics,https://theonion.com/wp-content/uploads/2025/06/Christian_Faith_Important-NIB-PH-R.jpg?w=1024,,TheOnion,1
Allergic Swelling Leaves Kristi Noem’s Face Completely Recognizable,,,politics,https://theonion.com/wp-content/uploads/2025/06/Allergic_Swelling_SB_IHA_GR.jpg?w=1024,,TheOnion,1
Mike Lee Stresses He Would Have Posted Same Thing If Own Family Savagely Murdered,,"WASHINGTON—After being confronted about social media posts that blamed the shootings of two Minnesota lawmakers on the far left, Sen. Mike Lee (R-UT) stressed Tuesday…",politics,https://theonion.com/wp-content/uploads/2025/06/Mike_Lee_Stresses_NIB_G_PH.jpg?w=1024,,TheOnion,1
GOP Lawmakers Clarify Their Hate-Filled Rhetoric Only Meant To Stoke Fundraising,,"WASHINGTON—Following the Minnesota attacks in which one Democratic state legislator was killed and another was shot nine times, Republican members of Congress issued a statement…",politics,https://theonion.com/wp-content/uploads/2025/06/GOP_Lawmakers_NIB_G_PH.jpg?w=1024,,TheOnion,1
Trump Calls Shooting Victims To Rant About Tim Walz,,"WASHINGTON—Reaching out to the surviving victims of Saturday’s shootings as they recovered from their numerous gunshot wounds, President Donald Trump reportedly called Minnesota state Sen.…",politics,https://theonion.com/wp-content/uploads/2025/06/Trump_Calls_Shooting_NIB_G_PH.jpg?w=1024,,TheOnion,1
Trump Condemns Vance Boelter’s Incomplete Hit List,,,politics,https://theonion.com/wp-content/uploads/2025/06/Trump_Condemns_SB_G_PH.jpg?w=1024,,TheOnion,1
"No One Sure Why Kristi Noem Wearing Firefighter Helmet, Night-Vision Goggles, High Heels, Wet Suit",,"WASHINGTON—Racking their brains as they tried to determine the express purpose of the homeland security secretary’s outfit, sources confirmed Monday they were not sure why…",politics,https://theonion.com/wp-content/uploads/2025/06/No_One_Sure_NIB_IHA_GR.jpg?w=1024,,TheOnion,1
Trump Mouths Lyrics To ‘Happy Birthday’ While National Anthem Plays,,,politics,https://theonion.com/wp-content/uploads/2025/06/Trump_Mouths-Social-PH.jpg?w=1024,,TheOnion,1
Pete Hegseth Vomits Out Of Tank Hatch,,,politics,https://theonion.com/wp-content/uploads/2025/06/Hegseth_ThrowsUp_SB_IHA_GR-SOCIAL.jpg?w=1024,,TheOnion,1
Kristi Noem: Sen. Padilla Had Even Deadlier Opinion That Failed To Go Off,,"LOS ANGELES—Stressing that she had significant reason to fear for her life during yesterday’s confrontation, Homeland Security Secretary Kristi Noem told reporters Friday that she…",politics,https://theonion.com/wp-content/uploads/2025/06/Kristi_Noem_Sen_NIB_G_PH.jpg?w=1024,,TheOnion,1
DHS Chief: ‘We Are A Nation Of Immigrants Who Came Here Between 1776 And 1943’,,,politics,https://theonion.com/wp-content/uploads/2025/06/DHS_Chief_We_Are-NIB-PH-R.jpg?w=1024,,TheOnion,1
Trump Issues Executive Order Reversing All Vasectomies,,"WASHINGTON—Telling reporters that the move would do much to combat low U.S. fertility rates, President Donald Trump issued an executive order Friday reversing vasectomies nationwide. “We’re…",politics,https://theonion.com/wp-content/uploads/2025/06/Trump_Issues_Vasectomies-NIB-PH-R.jpg?w=1024,,TheOnion,1
Trump Escalates Musk Feud By Nuking Mars,,"WASHINGTON—After days of listening to the tech billionaire criticize his ‘Big Beautiful Bill,’ President Donald Trump escalated his feud with Elon Musk Friday by nuking…",politics,https://theonion.com/wp-content/uploads/2025/06/Trump_Escalates-NIB-IHA-PH_copy.jpg?w=1024,,TheOnion,1
Over 100 People Jabbed With Syringes At French Music Festival,,,politics,https://theonion.com/wp-content/uploads/2025/02/AmericanVoice_OG_FINAL.jpg?w=1024,,TheOnion,1
